SiteID,sinu,upland,scrub,wetland,Dec_long,Dec_lat,hist_fire,current_fire
25,1,0.892857143,0,0.071428571,-86.8278,30.4717,1.333333333,9
26,1,0.777777778,0.018518519,0.203703704,-86.7175,30.4889,4,3
27,1.020344939,0.745454545,0.018181818,0.2,-86.7203,30.5286,2.222222222,6
28,1.003400534,0.773584906,0.075471698,0.132075472,-86.9297,30.5488,10,0
29,1.11275074,0.363636364,0.145454545,0.472727273,-86.9294,30.5517,10,0
31,1.078183386,0.407407407,0.018518519,0.481481481,-86.8686,30.565,3.333333333,4
32,1.023461242,0.563636364,0.036363636,0.163636364,-86.7291,30.6558,2,5
34,1.01496219,0.240740741,0.148148148,0.388888889,-86.6987,30.6602,1.818181818,4
38,1.01751913,0.519230769,0.019230769,0.288461538,-86.315,30.718,4,3
39,1.054229763,0.62962963,0,0.37037037,-86.33116869,30.69926004,5,3
42,1.216469771,0.269230769,0.057692308,0.384615385,-86.6766,30.664,2.857142857,1
43,1.075008083,0.375,0.107142857,0.232142857,-86.661,30.6716,5,1
44,1.034901961,0.5,0.074074074,0.111111111,-86.6499,30.675,3.333333333,3
46,1.029320988,0.418181818,0.127272727,0.054545455,-86.6059,30.6812,2.5,4
47,1.123562063,0.709090909,0.072727273,0.018181818,-86.5754,30.6804,4,4
49,0.999348828,0.218181818,0.054545455,0.581818182,-86.7351,30.4424,2.857142857,2
51,1.234270035,0.673076923,0.019230769,0.288461538,-86.8524,30.4412,10,0
52,1.010242953,0.886792453,0,0.113207547,-86.8395,30.4404,10,1
56,1.058795064,0.698113208,0.056603774,0.226415094,-86.77968113,30.45183123,1.428571429,8
64,1.222713987,0.563636364,0.254545455,0,-86.496,30.694,10,0
68,1.081849109,0.611111111,0.037037037,0.314814815,-86.3802,30.6984,6.666666667,2
70,1.094608205,0.740740741,0.092592593,0.148148148,-86.3513,30.7087,5,2
71,1.016469252,0.428571429,0.303571429,0.232142857,-86.3694,30.7085,6.666666667,2
72,1.063045829,0.777777778,0.111111111,0.055555556,-86.3814,30.7072,5,3
73,1,0.821428571,0,0,-86.7181,30.468,2.222222222,4
77,1,0.618181818,0.145454545,0.018181818,-86.4717,30.6948,10,2
78,1,0.777777778,0.092592593,0.074074074,-86.4518,30.646,2.5,5
84,1.002429375,0.555555556,0.055555556,0.092592593,-86.38872766,30.69813418,6.666666667,2
86,1.81851076,0.472727273,0.090909091,0.181818182,-86.715,30.5039,2.857142857,5
88,1,0.269230769,0.096153846,0.480769231,-86.6699,30.48,5,3
89,1.03104334,1,0,0,-86.6657,30.5006,2.5,6
90,1,0.351851852,0.314814815,0.12962963,-86.6643,30.4829,10,0
92,1.004666983,0.788461538,0,0.019230769,-86.659,30.5053,2.857142857,5
103,1.187673158,0.309090909,0.272727273,0.218181818,-86.333,30.7012,2.857142857,4
104,1.011000344,0.425925926,0.407407407,0.055555556,-86.3306,30.7119,6.666666667,3
105,1.470054765,0.327272727,0.036363636,0.509090909,-86.3287,30.7014,4,4
125,1.203024552,0.907407407,0,0,-86.7211,30.50362822,2.222222222,5
128,1.007924528,0.333333333,0.259259259,0,-86.63050929,30.51370169,10,0
